Artists,Song
"Hardwell, Amba Shepherd",Apollo
"R3HAB, Mike Williams",Lullaby
Mike Williams,Melody (Tip Of My Tongue)
"Cash Cash, Bebe Rexha",Take Me Home
"Dirty South, Alesso ",City of Dreams
"The Chainsmokers, Great Good Fine Ok",Let You Go 
"Armin Van Buuren, Trevor Guthrie",This is What It Feels Like
"Axwell, Ingrosso ",More Than You Know 
"ARTY, April Bender",Sunrise
"Clean Bandit, Demi Lovato",Solo
"Tritonal, Steph Jones, Madison Mars",Blackout (Remix)
"The Chainsmokers, Coldplay",Something Just Like This
"Tom Ferro, Gil Sanders",Overdrive
"XYLO, Win and Woo",L.A. Love Song (Remix)
"MYNGA, Hechmann, Grant Genske ",I'm Done
"Tori Kelly, Panic City",Should've Been Us (Remix)
Don Diablo,Cutting Shapes
"Sultan + Shepherd, Quilla ",Walls
"Lost Frequencies, James Blunt",Melody
"Lost Frequencies, Janieck Devy",Reality
2Elements,Tell Me
"Tiesto, Stargate, Aloe Blacc",Carry You Home
"Major Lazer, Nyla, Fuse ODG",Light It Up (Remix)
"W&W, Hardwell, Lil Jon",Live the Night
"Don Diablo, Arizona",Take Her Place
Don Diablo,Anthem
"Sultan + Shepherd, Nadia Ali, IRO",Almost Home
"Lost Frequencies, Axel Ehnstrom, Sultan + Shepherd",All or Nothing (Remix)
Kyo,Crashing
"Faul & Wad Ad, Avalanche City, KLYMVX",I Need You (Remix)
"John Dahlback, Melanie Fontana",Catch Me If You Can
"M22, Medina",First Time
"Loud Luxury, Brando",Body
"Martin Garrix, David Guetta, Jamie Scott, Romy Dya",So Far Away 
Galantis,No Money
"Party Favor, Georgia Ku, Landis",In My Head (Remix)
"Hapoly, Janis, Tristan Deniet",Symphony
Noize Generation,Believer
"Yves V, Matthew Hill, Betsy Blue",Stay
Klaas,Big Words
"SLANDER, Gammer, Eric Leva",Superhuman (Remix)
"Dzeko, TOKA-J, WAVES",Heart Speak (Remix)
Firebeatz,Remember Who You Are
Lost Frequencies,Are You With Me
"Calvin Harris, Tinie Tempah",Drinking from the Bottle
DEV,In The Dark
"Afrojack, Spree Wilson",The Spark
"Frank Pole, Greyson Chance",Anything
Mike Posner,Please Don't Go
"Cobra Starship, Sabi",You Make Me Feel
will.i.am,Hall of Fame
"Calvin Harris, Ellie Goulding",I Need Your Love
"Calvin Harris, Florence + The Machine",Spectrum (Say My Name)
Coldplay,Every Teardrop is a Waterfall
Coldplay,Charlie Brown
Avicii,Liar Liar
"Major Lazer, Mystic, Bruno Mars, Tyga",Bubble Butt
Krewella,Live for the Night
"B.o.B, 2 Chainz",Headband
"Nicky Romero, Vicetone, When We Are Wild",Let Me Feel
"Hardwell, Mitch Crown",Call Me A Spaceman
"David Guetta, Usher",Without You
"Zedd, Hayley Williams",Stay the Night
"David Guetta, Flo Rida, Nicki Minaj",Where Them Girls At
"DJ Snake, AlunaGeorge",You Know You Like It
Avicii,Wake Me Up
"Calvin Harris, Kelis",Bounce
Avicii,Broken Arrows
OneRepublic,Counting Stars
Imagine Dragons,Demons
