Unnamed: 0,Song,Artists,Lyrics,Joy,Trust,Fear,Surprise,Sadness,Disgust,Anger,Anticipation,Unnamed: 11
63,Where Them Girls At,"David Guetta, Flo Rida, Nicki Minaj","So many girls in here, where do I begin?<br>I seen this one, I'm 'bout to go in<br>Then she said, I'm here with my friends<br>She got me thinking and that's when I said<br>Where dem girls at, girls at?<br>Where dem girls at, girls at?<br>Where dem girls at, girls at?<br>So go get them, we can all be friends<br>Hey, bring it on baby, all your friends<br>You're the shit and I love that body<br>You wanna ball, let's mix it, I swear you're good, I wont tell nobody<br>You got a BFF, I wanna see that girl, it's all women invited<br>Hair do's and nails, that Louis, Chanel all up in the party<br>President's in my wallet, no rules I'm bout it<br>Blow the whistle for the hotties<br>I got it, shawty, it's never too much, can't be doing too much<br>Ten to one of me, I can handle that love<br>Outta of my reach, we can all get buzz<br>Holla 'cause I'm free, no matter it's no rush<br>So many boys in here, where do I begin?<br>I seen this one, I'm bout to go in<br>Then he said, I'm here with my friends<br>He got me thinking and that's when I said<br>Where dem girls at, girls at?<br>Where dem girls at, girls at?<br>Where dem girls at, girls at?<br>So go get them, we can all be friends<br>Peebe, peebe, who's people barkin'<br>Two years ago I renewed my license<br>Anyway why'd I start my verse like that<br>'Cause I can do it, you can suck on a ballsack<br>No, no I don't endorse that, pause that, abort that<br>Just the other day mi go London, saw that, kids down the street<br>Paparazzi, all that<br>Hey hey what can I say?<br>Day day day da-day day<br>Coming through the club all the girls in the back of me<br>This ain't football why the fuck they tryna tackle me?<br>Really, I pick dude at the bar like really<br>Looking like he wanna good time like really<br>Said he had a friend for my home girl Lilly Lilly, Lilly, Lilly<br>So many girls in here where do I begin<br>I see this one, I'm 'bout to go in<br>Than she said I'm here with my friends<br>She got me thinking, and that's when I said<br>Where them girls at, girls at?<br>Where them girls at, girls at?<br>Where them girls at, girls at?<br>So go get them, we can all be friends<br>Where my girls at uh, hm, uh<br>Yo, where my girls tryna get to jumpin', jumpin', jumpin'<br>So many girls in here, where do I begin?<br>I seen this one, I'm 'bout to go in<br>Then she said, I'm here with my friends<br>She got me thinking and that's when I said<br>Where them girls at, girls at?<br>Where them girls at, girls at?<br>Where them girls at, girls at?<br>So go get them, we can all be friends",0,0,0,0,0,0,0,1,
70,New Slaves,Kanye West,"My momma was raised in the era when<br>Clean water was only served to the fairer skin<br>Doing clothes you would have thought I had help<br>But they wasn't satisfied unless I picked the cotton myself<br>You see it's broke nigga racism<br>That's that ""Don't touch anything in the store""<br>And this rich nigga racism<br>That's that ""Come in, please buy more<br>What you want, a Bentley? Fur coat? A diamond chain?<br>All you blacks want all the same things""<br>Used to only be niggas now everybody playing<br>Spending everything on Alexander Wang<br>New Slaves<br>You see there's leaders and there's followers<br>But I'd rather be a dick than a swallower<br>You see there's leaders and there's followers<br>But I'd rather be a dick than a swallower<br>I throw these Maybach keys<br>I wear my heart on the sleeve<br>I know that we the new slaves<br>I see the blood on the leaves<br>I see the blood on the leaves<br>I see the blood on the leaves<br>I know that we the new slaves<br>I see the blood on the leaves<br>They throwing hate at me<br>Want me to stay at ease<br>Fuck you and your corporation<br>Y'all niggas can't control me<br>I know that we the new slaves<br>I know that we the new slaves<br>I'm 'bout to wild the fuck out<br>I'm going Bobby Boucher<br>I know that pussy ain't free<br>You niggas pussy, ain't me<br>Y'all throwing contracts at me<br>You know that niggas can't read<br>Throw 'em some Maybach keys<br>Fuck it, c'est la vie<br>I know that we the new slaves<br>Y'all niggas can't fuck with me<br>Y'all niggas can't fuck with Ye<br>Y'all niggas can't fuck with Ye<br>I'll move my family out the country<br>So you can't see where I stay<br>So go and grab the reporters<br>So I can smash their recorders<br>See they'll confuse us with some bullshit<br>Like the New World Order<br>Meanwhile the DEA<br>Teamed up with the CCA<br>They tryna lock niggas up<br>They tryna make new slaves<br>See that's that privately owned prisons<br>Get your piece today<br>They prolly all in the Hamptons<br>Braggin' 'bout what they made<br>Fuck you and your Hampton house<br>I'll fuck your Hampton spouse<br>Came on her Hampton blouse<br>And in her Hampton mouth<br>Y'all 'bout to turn shit up<br>I'm 'bout to tear shit down<br>I'm 'bout to air shit out<br>Now what the fuck they gon' say now?<br>I won't end this high, not this time again<br>So long, so long, so long<br>You cannot survive<br>And I'm not dying<br>And I can't lose<br>I can't lose<br>No, I can't lose<br>Cause I can't leave it to you<br>So let's get too high, get too high again<br>(Too high again<br>Too high)",0,0,0,0,0,1,1,0,
73,Loyal (East Coast Version),"Chris Brown, Lil Wayne, French Montana","Young Mula, baby!<br>I wasn't born last night<br>I know these hoes ain't right<br>But you was blowing up her phone last night<br>But she ain't have her ringer nor her ring on last night, oh<br>Nigga, that's that nerve<br>Why give a bitch your heart<br>When she rather have a purse?<br>Why give a bitch your inch<br>When she rather have nine?<br>You know how the game goes<br>She be mine 'bout half time, I'm the shit, oh<br>Nigga, that's that nerve<br>You all about her, and she all about hers<br>Birdman Junior in this bitch, no flamingos<br>And I done did everything but trust these hoes (CB fuck with me!)<br>When a rich nigga want you<br>And your nigga can't do nothing for ya<br>These hoes ain't loyal<br>These hoes ain't loyal<br>Yeah, yeah, let me see<br>Just got rich<br>Took a broke nigga bitch<br>I can make a broke bitch rich<br>But I don't fuck with broke bitches<br>Got a white girl with some fake titties<br>I took her to the bay with me<br>Eyes closed smoking marijuana<br>Rolling up that Bob Marley, I'm a rasta<br>She wanna do drugs, smoke weed, get drunk<br>She wanna see a nigga trapped<br>She wanna fuck all the rappers<br>When a rich nigga want you<br>And your nigga can't do nothing for ya<br>These hoes ain't loyal<br>These hoes ain't loyal<br>Yeah, yeah, let me see<br>Black girl with a big booty<br>If she a bad bitch, let's get to it (right away)<br>We up in this club<br>Bring me the bottles<br>I know girl, that you came in this bitch with your man<br>That's a no-no girl<br>All this money in the air<br>I wanna see you dance<br>Just got rich<br>Took a broke nigga bitch<br>I can make a broke bitch rich<br>But I don't fuck with broke bitches<br>When a rich nigga want you<br>And your nigga can't do nothing for ya<br>These hoes ain't loyal<br>These hoes ain't loyal<br>Yeah, yeah, let me see<br>A nigga fell in love<br>Turn into a woosy<br>24-7 he was eating that pussy<br>But these hoes ain't faithful<br>A nigga like me will have your bitch on tape though<br>I been knowing not to trust these hoes<br>I get bread, get head, and fuck these hoes<br>In that order<br>Don't switch it around<br>Relationships change, it's so different now<br>No high-school sweetheart<br>These bitches pimpin'<br>All these opinions<br>Women on women<br>Lickin' them titties<br>Sex in the City<br>Hella ""Instagram likes"" but you ain't pretty, bitch!<br>Come on, come on, girl why you frontin'?<br>Baby show me something<br>When I call her, she gon' leave<br>And I bet that bottom dollar she gon' cheat<br>Come on, come on, girl why you frontin'?<br>Baby show me something<br>You don' spent bread on her<br>And it's all for nothing<br>When a rich nigga want you<br>And your nigga can't do nothing for ya<br>These hoes ain't loyal<br>These hoes ain't loyal<br>Yeah, yeah, let me see<br>When I rich nigga want you (Want you babe)<br>And your nigga can't do nothing for ya (Oh)<br>Oh these hoes ain't loyal<br>Whoa these hoes ain't loyal<br>Yeah, yeah, let me see<br>Yeah, let me see<br>Yeah, let me see<br>Let me see<br>Oh these hoes ain't loyal",0,0,0,0,0,1,0,0,
79,Clique,"Kanye West, JAY Z, Big Sean","What of the dollar you murdered for?<br>Is that the one fighting for your soul?<br>Or your brother's the one that you're running from<br>But if you got money, fuck it, cause I want some<br>B.I.G. fuckin' with me, oh god, whoa<br>OK ain't nobody fucking with my clique, clique, clique, clique, clique<br>Ain't nobody fresher than my mothafuckin' clique, clique, clique, clique, clique<br>As I look around, they don't do it like my clique, clique, clique, clique, clique<br>And all these bad bitches, man, they want the<br>They want the, they want the<br>I tell a bad bitch do whatever I say<br>My block behind me like I'm coming out the driveway<br>It's grind day, from Friday, to next Friday<br>I been up straight for nine days, I need a spa day (spa day)<br>Yup, She trying get me that poo-tang<br>I might let my crew bang, my crew deeper than Wu-Tang<br>I'm rolling with, fuck I'm saying? Girl, you know my crew name<br>You know 2 Chainz? Scrr!<br>I'm pulling up in that Bruce Wayne but I'm the fucking villain,<br>Man, they kneeling when I'm walking in the building<br>Freaky women I be feeling from the bank accounts I'm filling<br>What a feeling, ah man, they gotta be<br>Young player from the D that's killing everything that he see <br>(Ain't nobody fucking with my clique, clique, clique, clique, clique)<br>Ain't nobody fresher than my mothafuckin' clique, clique, clique, clique, clique<br>As I look around, they don't do it like my clique, clique, clique, clique, clique<br>And all these bad bitches, man, they want the<br>They want the, they want the<br>Yeah, I'm talking 'Ye, yeah, I'm talking Rih'<br>Yeah, I'm talking B', nigga, I'm talking me<br>Yeah, I'm talking bossy, I ain't talking Kelis<br>Your money too short, you can't be talking to me<br>Yeah I'm talking LeBron, we ball in our family tree<br>G.O.O.D. Music drug-dealing cousin, ain't nothing fuckin' with we<br>Me turn that 62 to 125, 125 to a 250<br>250 to a half a million, ain't nothin' nobody can do with me, now who with me?<br>¡Vámonos! Call me Hov or Jefe<br>Translation, I'm the shit, least that what my neck say<br>Least that what my check say, lost my homie for a decade<br>Nigga down for like 12 years, ain't hug his son since second grade<br>He never told, who we gon' tell, we top of the totem pole<br>It's the Dream Team meets the Supreme Team<br>And all our eyes green it only means one thing<br>You ain't fucking with my clique <br>(Ain't nobody fucking with my clique, clique, clique, clique, clique)<br>Ain't nobody fresher than my mothafuckin' clique, clique, clique, clique, clique<br>As I look around, they don't do it like my clique, clique, clique, clique, clique<br>And all these bad bitches, man, they want the<br>They want the, they want the<br>Break records at Louie, ate breakfast at Gucci<br>My girl a superstar all from a home movie<br>Bow on our arrival, the Un-American idols<br>What niggas did in Paris, got 'em hanging off the Eiffel<br>Yeah I'm talking business, we talking CIA<br>I'm talking George Tenet, I seen him the other day<br>He asked me about my Maybach, think he had the same<br>Except mine tinted and his might have been rented<br>You know white people get money, don't spend it<br>Or maybe they get money, buy a business<br>I rather buy 80 gold chains and go ig'nant<br>I know Spike Lee gon' kill me but let me finish<br>Blame it on the pigment, we living no limits<br>Them gold Master P ceilings was just a figment<br>Of our imagination, MTV cribs Now I'm looking at a crib right next to where TC lives<br>That's Tom Cruise, whatever she accuse<br>He wasn't really drunk he just had a few brews<br>Pass the refreshments, a cool, cool beverage<br>Everything I do need a news crew's presence<br>Speedboat swerve homie watch out for the waves<br>I'm way too black to burn from sun rays<br>So I just meditate at the home in Pompeii<br>About how I could build a new Rome in one day<br>Every time I'm in Vegas they screaming like he's Elvis<br>But I just wanna design hotels and nail it<br>Shit is real got me feeling Israelian<br>Like Bar Refaeli, Gisele, nah that's Brazilian<br>Went through, deep depression when my momma passed<br>Suicide, what kinda talk is that?<br>But I been talking to God for so long and if you look at my life I guess he's talking back<br>Fucking with my clique<br>Ain't nobody fresher than my mothafuckin' clique<br>As I look around, they don't do it like my clique<br>And all these bad bitches, man, they want the<br>They want the, they want the",1,1,0,0,0,1,0,0,
101,A Tale of 2 Citiez,J. Cole,"Since a youngin' always dreamed of gettin' rich<br>Look at me my nigga<br>Fantasize about a white picket fence<br>With some trees my nigga<br>Used to want a pathfinder with some tints<br>Thats all I need my nigga<br>Throw some 20's on that bitch and get it wrenched<br>But now I see my nigga<br>That the worlds a lot bigger ever since<br>Picked up the paper and they say my nigga Eddie caught a body, I'm convinced<br>Anybody is a killer, all you gotta do is push 'em to the limps<br>Fuck being timid in the Civic<br>Politicin' with the pushers and the pimps<br>I'm tryna write a story, can I get a glimpse?<br>Yeah can I get a glimpse?<br>Last night I had a bad dream<br>That I was trapped in this city<br>Then I asked is that really such a bad thing?<br>They robbin' niggas on the daily<br>Keep on blamin' nigga that ain't never had things<br>Guess not, last night they pulled up on my nigga at the light like<br>Uh, nice watch, run it<br>Hands in the air now, hands in the air, run it<br>Small town nigga Hollywood dreams<br>I know that everything that glitters ain't gold<br>I know the shits not always good as it seems<br>But tell me till you get it how could you know<br>How could you know? How could you know?<br>Listen up I'm about to go and get rich<br>Fuck with me my nigga<br>We gonna slug around the Ville and hit a lick<br>Cop some tree my nigga<br>And some powder, bag it up and make it flip<br>You gon' see my nigga<br>One day we gon' graduate and cop a brick<br>And that's the key my nigga<br>And listen up I'm bout to go and get rich<br>Stand back and watch if you want to nigga<br>Me I want my pockets fat about a bitch<br>Tired of seein' niggas flaunt, I wanna flaunt too nigga<br>Watch some rollers in the fuckin' Crown Vic<br>Tryna lock a nigga up, that's what they won't do nigga<br>Wanna know a funny thing about this shit?<br>Even if you let em' kill your dream it'll haunt you nigga<br>Last night I had a bad dream<br>That I was trapped in this city<br>Then I asked is that really such a bad thing?I<br>I look around like do you want to be another nigga<br>That ain't never had things<br>Guess not, last night we pulled up on my nigga at the light like<br>Uh, nice watch, run it<br>Hands in the air now, hands in the air, run it<br>Father forgive me for me, childish ways<br>I look outside and all the clouds are gray<br>I need your hands to take me, miles away<br>Your wish is my command, my command, my command, but<br>Before you go I've got to, want you now<br>Whatever goes up surely, must come down<br>And you get your piece but no peace, won't be found<br>So why just take me man, take me man, take me man<br>Your wish is my command, my command, my command",0,0,0,0,1,1,1,0,
102,G.O.M.D. ,J. Cole,"Hollywood Cole<br>Go<br>Ay Hollywood<br>Hollywood Cole<br>Go<br>You wanna know just where I'm at<br>Well let me tell you 'bout it<br>I put my city on the map<br>But let me tell you 'bout it<br>They tryna say I can't come back<br>Ay let me tell you 'bout it<br>Man fuck them nigga I come back<br>Ay let me tell you 'bout it<br>I wanna tell you 'bout it<br>Hands up, everybody run<br>Cole outside and he say he got a gun<br>Niggas like ""man that's what everybody say""<br>Go and pop the trunk and everybody dead<br>Everybody scared of the nigga<br>Aware that the nigga is better<br>All my bitches the pick of the litter<br>Never bitter<br>Niggas is faker than anime<br>Me I never hate, get cake like Anna Mae, woah<br>Eat the cake bitch, eat the damn cake<br>Fuck good nigga we demand great<br>Order Dominoes and she take off all her clothes<br>Nigga you know how it goes, make the pizza man wait<br>The best kept secret<br>Even hoes try and keep it and I leak the damn tape<br>Rest in peace any nigga want beef<br>Even secret service couldn't keep the man safe<br>I said to the window, to the wall<br>My nigga ride when I call<br>Got bitches all in my mind<br>Fuck nigga blocking my shine<br>I know the reason you feel the way<br>I know just who you wan' be<br>So everyday I thank the man upstairs<br>That I ain't you and you ain't me<br>Get off my dick, woah<br>(Get the fuck off my dick)<br>Get off my dick, woah<br>(Get the fuck off my dick nigga)<br>Get off my dick, bitch, woah<br>(Get the fuck off my dick)<br>Get off my dick, woah<br>Man fuck them niggas I come home and I don't tell nobody<br>They gettin' temporary dough and I don't tell nobody<br>Lord will you tell me if I changed, I won't tell nobody<br>I wanna go back to Jermaine, and I won't tell nobody<br>This is the part that the thugs skip<br>Young nigga never had love<br>You know, foot massage, back rub shit<br>Blowing bubbles in the bathtub shit<br>That is until I met you<br>Together we done watch years go by<br>Seen a river of your tears go by<br>Got me thinkin' bout some kids, still I<br>Tell them hoes come through<br>(The break up)<br>Get to know somebody and you learn a lot about 'em<br>When we long for you, start to doubt 'em<br>Tell yourself you better off without 'em<br>Then in time you will find can't walk without 'em<br>Can't talk without 'em, can't breath without 'em<br>Came here together, you can't leave without 'em<br>So you walk back in, make a scene about 'em<br>On your Amerie it's just 1 thing about 'em<br>It's called love<br>Niggas don't sing about it no more<br>Don't nobody sing about it no more<br>No more, no more<br>It's called love<br>Niggas don't sing about it no more<br>Don't nobody sing about it no more<br>(Nigga I don't sing about this shit no more)<br>But there a nigga in the club singing<br>To the window, to the wall<br>My nigga ride when I call<br>Got bitches all in my mind<br>Fuck nigga blocking my shine<br>I know the reason you feel the way<br>I know just who you wan' be<br>So everyday I thank the man upstairs<br>That I ain't you and you ain't me<br>Get off my dick<br>But ain't a nigga in the club singing<br>Singing this song yeah<br>Got all the bitches in the club singing<br>Singing this song yeah<br>And all they mamas let their kids sing it<br>Sing this song yeah<br>The baby mamas and the mistresses<br>Singing this song yeah<br>Song yeah, song song yeah<br>The make up<br>This shit is retarded<br>Why every rich black nigga gotta be famous<br>Why every broke black nigga gotta be brainless<br>That's a stereotype<br>Driven by some people up in Ariel Heights<br>Here's a scenario<br>Young Cole pockets is fat like little Terrio<br>Dreamville, give us a year we'll be on every show<br>Yeah fuck nigga I'm very sure<br>Fuck the rest I'm the best nigga out<br>When I'm back home I'm the best in the South<br>When I'm in LA I'm the best in the West<br>You can test, you can test, I'mma stretch niggas out<br>Ooh I'mma stretch niggas out<br>That go for all y'all if I left niggas out<br>This shit for everybody on my testicle<br>Please make sure you put the rest in your mouth, ho",0,0,0,0,1,1,1,1,
185,Up Like Trump,Rae Sremmurd,"Up like Donald Trump, up, word?<br>Up, up, up, up<br>Up like Donald Trump (up)<br>Chain swings like nunchucks<br>She gon' chew you up, yeah<br>Twerk like she from Russia<br>Don't get me wile'd up (up)<br>Soldiers at a 10 hut<br>Look what you've don' done (up)<br>Now you've done fucked up, up<br>Up like Donald Trump (up)<br>Chain swings like nunchucks<br>She gon' chew you up, yeah<br>Twerk like she from Russia<br>Don't get me wile'd up (up)<br>Soldiers at a 10 hut<br>Look what you've don' done (up)<br>Now you've done fucked up, up<br>Read my lips, I do my own stunts<br>Bitch wanna go on a date<br>Pull up to Suntrust<br>Wear my hat to the front, yeah<br>Like I drive a truck<br>Like I drive a truck<br>All white Bentley truck<br>ATM go nuts<br>I do what I want<br>I say what I want<br>I grew up on Pac<br>Kush smell just like must<br>Turn it into dust<br>Man my style is tough<br>Y'all huffed all that puss<br>Twerk like she from Russia<br>Try hard not to love her<br>But she so damn bad<br>I might have to cuff her<br>Rock like Billy Ray<br>That's a nigga idol<br>Forbes list, Forbes list, Forbes list, Forbes, read it like the Bible<br>Up like Donald Trump (up)<br>Chain swings like nunchucks<br>She gon' chew you up, yeah<br>Twerk like she from Russia<br>Don't get me wile'd up (up)<br>Soldiers at a 10 hut<br>Look what you've don' done (up)<br>Now you've done fucked up, up<br>Up like Donald Trump (up)<br>Chain swings like nunchucks<br>She gon' chew you up, yeah<br>Twerk like she from Russia<br>Don't get me wile'd up (up)<br>Soldiers at a 10 hut<br>Look what you've don' done (up)<br>Now you've done fucked up, up<br>Up like Trump, all of a sudden<br>Solo cup when brought to the public<br>Balmain's clean as a whistle<br>Green ain't the issue<br>Lil bit of money make a difference<br>Nothin' is somethin', it's so hard to function<br>With all of these hoes in the house<br>Fuck y'all social, my blood still rushin<br>My hearts still thumpin'<br>Up like Trump<br>Kickin' like Ike<br>Got bitch twerkin' on Skype<br>MGM every night<br>Sremm at the door<br>King of the swipe<br>Mu'fuckers worry bout' lice<br>Only bitches, they ain't got a single dollar, or a nickel<br>They ain't even got a penny, for the strippers<br>And they wanna pop bottles, like winners<br>Check my pedigree I always been a money fiend<br>All these fuckin' rings I'm shinin' like a fuckin' king<br>Breakin' down the kush, don't it look so plush?<br>Take a couple puffs, I'm like Donald Trump, up!<br>Up like Donald Trump (up)<br>Chain swings like nunchucks<br>She gon' chew you up, yeah<br>Twerk like she from Russia<br>Don't get me wile'd up (up)<br>Soldiers at a 10 hut<br>Look what you've don' done (up)<br>Now you've done fucked up, up<br>Up like Donald Trump (up)<br>Chain swings like nunchucks<br>She gon' chew you up, yeah<br>Twerk like she from Russia<br>Don't get me wile'd up (up)<br>Soldiers at a 10 hut<br>Look what you've don' done (up)<br>Now you've done fucked up, up up<br>Up like Trump",1,1,0,0,0,1,0,0,
194,Often (Remix),"The Weeknd, Kygo","Ooh yeah, ooh yeah, ooh yeah, ooh yeah, ooh yeah<br>Ooh yeah, ooh yeah, ooh yeah, ooh yeah<br>Ooh yeah, ooh yeah, ooh yeah, ooh yeah, ooh yeah<br>Ooh yeah, ooh yeah, ooh yeah, ooh yeah, ooh yeah<br>I usually love sleeping all alone<br>This time around bring your friend with you<br>But we ain't really gonna to sleep at all<br>You ain't gonna catch me with them sneak pictures, sneak pictures<br>In my city I'm a young god<br>That pussy kill be so vicious<br>My god white, he in my pocket<br>He get me redder than the devil 'til I go nauseous<br>Asked me if I do this every day, I said ""Often""<br>Asked how many times she rode the wave, ""Not so often""<br>Bitches down to do it either way, often<br>Baby I can make that pussy rain, often<br>Often, often, girl I do this often<br>Make that pussy pop and do it how I want it<br>Often, often, girl I do this often<br>Make that pussy pop and do it how I want it<br>Often, often, girl I do this often<br>In that thing, switch lane to lane, look like I spent a fortune<br>Awesome, 100 plus, can't get this from the auction<br>Need a chick to ride my dick and back it up like parking<br>Show that pussy, work that pussy<br>Who that pussy, that's my pussy<br>Wet that pussy, stroke that pussy, ooh<br>I twist the weed<br>You on your phone texting your friend to come fuck<br>I wonder if it's the druggies wit hoes or the millions of bucks<br>But, ask me if I do this everyday you know<br>I'm ballin', make 80k straight off the plane you know<br>Trade my grill in for the Bentley or the Range you know<br>I'm in the studio just tryna get some brains you know<br>She asked me if I do this every day, I said ""Often""<br>Asked how many times she rode the wave, ""Not so often""<br>Bitches down to do it either way, often<br>Baby I can make that pussy rain, often<br>Often, often, girl I do this often<br>Make that pussy pop and do it how I want it<br>Often, often, girl I do this often<br>Make that pussy pop and do it how I want it, often<br>Freakier than freaky, when she climax she make pee pee<br>Step back like a player, turn my cheek she try to reach me<br>What you in this for? Another sucker for a whore<br>Never I, tailored by my new young Anna Wintour<br>Centerfold attraction, sexual compassion<br>Often memories are faded, these are everlastin'<br>Long eyelashes, palmin' her every asset<br>Often imitated because this life I live is lavish<br>Bud like a flower, Miami's new Eiffel Tower<br>Love in the dark to the beat of my heart<br>She came from the ghetto and now her closet is Neiman<br>Often the results of the women joinin' my team and dreamin'<br>Ooh, the sun's risin' up<br>The night's almost done<br>The night's almost done<br>But I see your eyes<br>You wanna go again<br>Girl, I'll go again<br>Girl, I'll go again<br>She asked me if I do this every day, I said ""Often""<br>Asked how many times she rode the wave, ""Not so often""<br>Bitches down to do it either way, often<br>Baby I can make that pussy rain, often<br>Often, often, girl I do this often<br>Make that pussy pop and do it how I want it<br>Often, often, girl I do this often<br>Make that pussy pop and do it how I want it<br>Often<br>Ooh yeah, ooh yeah, ooh yeah, ooh yeah, ooh yeah<br>Ooh yeah, ooh yeah, ooh yeah, ooh yeah<br>Ooh yeah, ooh yeah, ooh yeah, ooh yeah, ooh yeah<br>Ooh yeah, ooh yeah, ooh yeah, ooh yeah",0,1,0,0,0,0,0,1,
197,Come Get Her,Rae Sremmurd,"Somebody come to the floor, it feels like we've met before<br>Somebody come get her, she's dancin' like a stripper<br>Somebody come get her, she's dancin' like a stripper<br>Somebody come tip her, she's dancin' like a stripper<br>Somebody come get her, she's feelin' all the liquor<br>Chopped and screwed up<br>I'm a pothead, true enough<br>At your ex's crib and you're boo'd up<br>Take it slow baby, we in no rush<br>Hennessy or Don Q, that's a very hard choice<br>For the diamonds on my pinky, need a gang of cool points<br>And the drop head make 'em drop dead, yeah<br>Ye ain't scared, ye ain't scared, ye ain't scared, yeah<br>Believe me, I'm out here, you see me, in action<br>I've heard a lot, a lot about you<br>Catchin' round blunts like a hot potato<br>And you dancin' on the table, gushin' like volcano<br>Somebody come get her, she's dancin' like a stripper<br>Somebody come get her, she's dancin' like a stripper<br>Somebody come tip her, she's dancin' like a stripper<br>Somebody come get her, she's feelin' all the liquor<br>You got girls in here? I'm recruitin'<br>And they fine, hop the line<br>I've been sippin' on Patrón and wine<br>I'm just tryna have a good fuckin' time<br>I was chillin' with the open container<br>Grabbed her arm, told her not to be a stranger<br>I was throwin' on the drank with my niggas<br>I was lookin' for the girls who willin'<br>Baby girl, if you fuck with me then we gettin' bands<br>If you smokin' with me then we on dabs<br>I don't fuck with local hoes, I told you that<br>How you movin', you deserve a couple racks<br>Somebody come get her, she's dancin' like a stripper<br>Somebody come get her, she's dancin' like a stripper<br>Somebody come tip her, she's dancin' like a stripper<br>Somebody come get her, she's feelin' all the liquor<br>Hundreds on your face, baby girl<br>Come and do that little thing that you was doin'<br>Aye they was in this mothafucka trippin'<br>What the hell they think we was doin'?<br>It seems like we're fuckin' in this club<br>Baby girl, what they think that we're doin'?<br>You gettin' on my nerves with them questions<br>Girl you know I'm tryna start a little movement<br>Ain't got no business fuckin' with you<br>Out the blue, you actin' brand new<br>Washingtons mean nothing to you<br>Same way with us<br>Somebody come get her, she's dancin' like a stripper<br>Somebody come get her, she's dancin' like a stripper<br>Somebody come tip her, she's dancin' like a stripper<br>Somebody come get her, she's feelin' all the liquor",0,1,0,0,0,1,0,0,
198,Throw Sum Mo,"Rae Sremmurd, Nicki Minaj, Young Thug","Ass fat<br>Yeah I know<br>You just got cash?<br>Blow sum mo' (word)<br>Blow sum mo'<br>Blow sum mo'<br>The more you spend it<br>The faster it go (go)<br>Bad bitches<br>On the floor<br>It's rainin' hunnid's<br>Throw sum mo' (okay)<br>Throw sum mo'<br>Throw sum mo'<br>Throw sum mo'<br>Hi, bye hater<br>I flood the club with paper<br>Shawty got a ass, some for now, some for later<br>Somethin' like Nicki's<br>Dancin' like Maliah<br>I'm throwin' all this money I'ma fuck around and buy her<br>I can flick the money all night 'til my wrist tired<br>If you put in work, this the night you gon' retire<br>You a bad bitch, I ain't even gon' deny her<br>She told me ""throw that money"", I said ""make it worth my while""<br>I'm 'bout to empty out the ATM<br>She doin' tricks that make a nigga wanna' spend<br>Girl you know you got me fascinated<br>Just keep on dancin' 'til I'm outta paper (Never)<br>Ass fat<br>Yeah I know<br>You just got cash?<br>Blow sum mo' (word)<br>Blow sum mo'<br>Blow sum mo'<br>The more you spend it<br>The faster it go (go)<br>Bad bitches<br>On the floor<br>It's rainin' hunnid's<br>Throw sum mo' (okay)<br>Throw sum mo'<br>Throw sum mo'<br>Throw sum mo'<br>Franklins<br>Rainin' on your body<br>Rainin' on your body<br>Rainin' on your body<br>Won't you do what I say?<br>Start rubbin' on your body<br>You like hunnid's on your body<br>Well you needs to get naughty<br>Hold up, hold on<br>Her eyes on me, is that your ho?<br>If so I'ma get her fore' the nights over<br>Dj play my shit so I'm finna' crank up off in the V.I.P zone<br>See the money go up and she dance on sight<br>By the end of the night she on endo'<br>Lemme' see you make it clap on tempo<br>Lemme' see you get low like limbo (word)<br>Ass fat<br>Yeah I know<br>You just got cash?<br>Blow sum mo' (word)<br>Blow sum mo'<br>Blow sum mo'<br>The more you spend it<br>The faster it go<br>Bad bitches<br>On the floor<br>It's rainin' hunnid's<br>Throw sum mo' (okay)<br>Throw sum mo'<br>Throw sum mo'<br>Throw sum mo'<br>Come in ho<br>Mistletoe<br>I got birdies<br>Crows<br>Flip it a bit, wanna jump on the dick<br>I'm like bool let's get it, let's get it<br>I got these bitches kissin' on these bitches<br>I can't even count em', I fuck by the digits<br>Swag, terrific<br>I might fuck that bitch in the kitchen<br>Baby don't use dirty dishes<br>Or else you might whip up a burrr<br>My neck, my wrists is a burrr<br>She wanna fuck my dogs I'm like ""woof""<br>Panoramic roof, I drop the coupe, boo<br>Pulled up with a bitch, she look like New New<br>It's okay if I lie to you, bitch, I swear the truth<br>Hey, she come right back like them divers do<br>Fifty thousand off fifty niggas, no caliber<br>Ass fat<br>Yeah I know<br>You just got cash?<br>Blow sum mo' (word)<br>Blow sum mo'<br>Blow sum mo'<br>The more you spend it<br>The faster it go<br>Bad bitches<br>On the floor<br>It's rainin' hunnid's<br>Throw sum mo' (okay)<br>Throw sum mo'<br>Throw sum mo'<br>Throw sum mo'",0,1,0,0,0,0,0,1,
