title,artist,emotions
God’s Plan,Drake,"['gratitude', 'Joy','Confidence']"
In My Feelings,Drake,"['Love','Lust','Joy']"
Hotline Bling,Drake,"['Sadness','Desire']"
One Dance,Drake,"['Desire', 'Joy']"
"Hold On, We’re Going Home",Drake,"['Love','Desire']"
Know Yourself,Drake,"['Confidence']"
Back to Back,Drake,"['Confidence', 'Anger']"
All Me,Drake,"['confidence']"
From Time,Drake,"['Desire', 'Love']"
Fake Love,Drake,"['Sadness']"
No Role Modelz,J. Cole,"['Desire', 'Anger', 'Confidence']"
Power Trip,J. Cole,"['Love']"
Wet Dreamz,J. Cole,"['Lust']"
Crooked Smile,J. Cole,"['Confidence','Love']"
MIDDLE CHILD,J. Cole,"['Anger', 'Confidence']"
She Knows,J. Cole,"['Lust']"
Deja Vu,J. Cole,"['Desire','Lust']"
Love Yourz,J. Cole,"['Gratitude']"
Only,Nicki Minaj,"['Anger', 'Lust','Confidence']"
Feeling Myself,Nicki Minaj,"['confidence']"
Truffle Butter,Nicki Minaj,"['Confidence', 'Joy']"
Anaconda,Nicki Minaj,"['Lust']"
Chun-Li,Nicki Minaj,"['Anger', 'Confidence']"
Beez In The Trap,Nicki Minaj,"['Confidence']"
Super Bass,Nicki Minaj,"['Desire', 'Joy']"
Lookin Ass,Nicki Minaj,"['Anger']"
Pills N Potions,Nicki Minaj,"['Sadness', 'Love']"
No Vaseline,Ice Cube,"['Anger','Confidence', 'Disgust']"
It Was a Good Day,Ice Cube,"['gratitude', 'Joy']"
Gangsta Rap Made Me Do It,Ice Cube,"['Anger', 'Confidence']"
Check Yo Self,Ice Cube,"['Anger']"
You Know How We Do It,Ice Cube,"['Joy', 'Confidence']"
Hello,Ice Cube,"['Anger', 'Confidence']"
The Nigga Ya Love To Hate,Ice Cube,"['Anger', 'Confidence']"
Why We Thugs,Ice Cube,"['Anger', 'Disgust']"
Love Me,Lil Wayne,"['Lust','Desire','Confidence']"
Mona Lisa,Lil Wayne,"['Anger', 'Sadness']"
Believe Me,Lil Wayne,"['Confidence']"
Mirror,Lil Wayne,"['Sadness']"
Rich As Fuck,Lil Wayne,"['Confidence','Joy']"
A Milli,Lil Wayne,"['anger', 'confidence']"
Don’t Cry,Lil Wayne,"['Sadness']"
Mercy,Kanye West,"['Confidence','Desire','Lust']"
Monster,Kanye West,"['Anger', 'Confidence']"
"Father Stretch My Hands, Pt. 1",Kanye West,"['Joy']"
Ultralight Beam,Kanye West,"['Love','Gratitude']"
Bound 2,Kanye West,"['Love', 'Joy']"
New Slaves,Kanye West,"['Anger', 'Disgust']"
Runaway,Kanye West,"['Sadness','Shame']"
Holy Grail,JAY-Z,"['Anger', 'Confidence']"
Empire State of Mind,JAY-Z,"['Confidence', 'Joy']"
Part II (On the Run),JAY-Z,"['Love']"
The Story of O.J.,JAY-Z,"['Anger', 'Confidence']"
4:44,JAY-Z,"['Sadness','Shame']"
Tom Ford,JAY-Z,"['Confidence','Joy']"
99 Problems,JAY-Z,"['anger','confidence']"
Lose Yourself,Eminem,"['Desire', 'Confidence']"
Without Me,Eminem,"['Anger', 'Confidence']"
The Real Slim Shady,Eminem,"['Anger', 'Confidence']"
Stan,Eminem,"['Anger', 'Sadness']"
The Monster,Eminem,"['Sadness', 'Anger']"
HUMBLE.,Kendrick Lamar,"['Anger', 'Confidence']"
​m.A.A.d city,Kendrick Lamar,"['Anger']"
Swimming Pools (Drank),Kendrick Lamar,"['Sadness']"
DNA.,Kendrick Lamar,"['Anger', 'Confidence']"
Money Trees,Kendrick Lamar,"['Desire', 'Anger', 'Confidence']"
"Bitch, Don’t Kill My Vibe",Kendrick Lamar,"['Joy','Confidence']"
